A64-D936;QUARTIER IBARRE;3
LAA-MONDRANS;ORTHEZ;5
LAA-MONDRANS;LANNEPLAA (MIGNOT);5.5
LABASTIDE-VILLEFRANCHE;D28-D29;1
LABASTIDE-VILLEFRANCHE;ESCOS;2.5
LABASTIDE-VILLEFRANCHE;BIDACHE;11.5
LABATUT;LAHIRE;2.5
LABETS-BISCAY;GABAT;4.5
LABETS-BISCAY;D124-D29;3
LABOURDETTE;SAUVETERRE-DE-BEARN;3
LABOURDETTE;ORAAS;3
LACOMMANDE;MONEIN;9
LACQ;N117-D31;1.5
LACQ;ABIDOS;2
LACQ;ARTIX;4.5
LAGARDE;OURSBELILLE;2
LAGARDE;TARASTEIX;5.5
LAGOR;MASLACQ;7.5
LAGOS;ANGAIS;4.5
LAGOS;ESPOEY;7.5
LAHERRERE;SUSMIOU;5
LAHIRE;PEYREHORADE;8
LAHONCE;LES SALINES;5
LAHONTAN;LABATUT;4.5
LAHOURCADE;MOURENX;2
LALOUBERE;TARBES;2.5
LALOUBERE;ODOS;2.5
LANNE-EN-BARETOUS;MONTORY;5.5
LANNEPLAA (MIGNOT);L'HOPITAL-D'ORION;8.5
LARCEVEAU;LACARRE;7.5
LARCEVEAU;SAINT-JUST-IBARRE;5.5
LAROIN;D2-N134;6
LARRAU;COL DE BAGARGUI;13.5
LARUNS;LES EAUX-CHAUDES;4
LARUNS;LES EAUX-BONNES;4
LASCLAVERIES;CAZAUDEHORE (AURIAC);2.5
LASSEUBE;ESTIALESCQ;6
LASSEUBE;LACOMMANDE;7
LAVIE;L'HOPITAL-D'ORION;7
LAVIE;BERENX;7
LAYRISSE;BENAC;3.5
LE BOURGUET;CARRESSE;2.5
LEDEUIX;CARDESSE;7.5
LEDEUIX;OLORON;3.5
LEMBEYE;MAUBOURGUET;15
LEMBEYE;MOMY;8.5
LES BARTHES (SUR L'ADOUR);BARTHES (SUR L'ADOUR);5
LES EAUX-BONNES;GOURETTE;8
LES EAUX-CHAUDES;MIEGEBAT;3
LES PINDATS;ARROS-DE-NAY;7
LES SALINES;MOUGUERRE;4.5
LESACA;MACHAIN;2.5
LESCAR;PAU;6.5
LESPOURCY;ARRIEN;5.5
LESPOURCY;BALEIX;3.5
LESPOURCY;D7-D42;2.5
LESTELLE-BETHARRAM;PONT DES GROTTES;1.5
LEZIGNAN;LOURDES;4.5
LEZIGNAN;ARCIZACQ-EZ-ANGLES;1.5
L'HOPITAL-D'ORION;SALIES-DE-BEARN;10
L'HOPITAL-D'ORION;ORION;3.5
L'HOPITAL-SAINT-BLAISE;UHALT;8
L'HOPITAL-SAINT-BLAISE;GURS;6
L'HOPITAL-SAINT-BLAISE;BARCUS;10
LIMENDOUS;ANDOINS;5.5
LIMENDOUS;LOURENTIES;2.5
LOGIBAR;LARRAU;2.5
LOHITZUN;PONT DE QUINQUIL;4.5
LOUBAJAC;PONTACQ;6
LOUBAJAC;LOURDES;6
LOUBIENG;LAA-MONDRANS;3
LOUBIENG;SAUVELADE;7
LOUCRUP;MONTGAILLARD;3.5
LOUCRUP;VISKER;2.5
LOUCRUP;LAYRISSE;4
LOUEY;OSSUN AEROPORT;1
LOUHOSSOA;BIDARRAY;7
LOUHOSSOA;HELETTE;9
LOUHOSSOA;MENDIONDE;6.5
LOURDIOS-ICHERE;COL D'ICHERE;6
LOURENTIES;ESLOURENTIES;1.7
LOUVIE-JUZON;ARUDY;2.5
LOUVIE-JUZON;MIFAGET;11
LUCQ-DE-BEARN;LEDEUIX;11
LUCQ-DE-BEARN;CARDESSE;7.5
LUCQ-DE-BEARN;SAUCEDE;4
LYS;BRUGES;4
LYS;REBENACQ;8
LYS;SEVIGNACQ-MEYRACQ;6.5
MACHAIN;N121-NA440;2
MASLACQ;ARGAGNON;2
MASLACQ;BIRON;6
MASPARRAUTE;ETCHEGORRIA;3
MAUBOURGUET;VIC-EN-BIGORRE;9
MAUCOR;HAUT DE MORLAAS;2
MAULEON-LICHARRE;ROSPIDE;3.5
MAULEON-LICHARRE;VIODOS;3
MAULEON-LICHARRE;LOHITZUN;13
MAYA D'EL BAZTAN;PORT D'OTXONDO;6
MAZEROLLES;BEDOU;2
MEILLON;PAU;7
MENDIONDE;GRECIETTE;2.5
MENDIVE;SAINT-JEAN-LE-VIEUX;6.5
MENTACHOURY;MOUGUERRE;2
MENTACHOURY;BAYONNE;9
MERACQ;THEZE;4
MIEGEBAT;GABAS;5
MIFAGET;BRUGES;2
MIRASSOU;ASSAT;2
MOMY;ANOYE;3.5
MONASSUT-AUDIRACQ;ANOYE;9
MONASSUT-AUDIRACQ;SIMACOURBE;4
MONCAYOLLE;UNDUREIN;5
MONCAYOLLE;CHATEAU D'ARTIGAU;3.5
MONCAYOLLE;BERROGAIN-LARUNS;3.5
MONEIN;CARDESSE;9
MONEIN;LAHOURCADE;5.5
MONEIN;ARBUS;9
MONTANER;PONSON-DESSUS;6
MONTANER;SIARROUY;6
MONTESTRUCQ;LANNEPLAA (MIGNOT);4
MONTFORT;VIELLENAVE-DE-NAVARRENX;4.5
MONTFORT;NARP;2
MONTFORT;NABAS;7
MONTGAILLARD;POUZAC;4.5
MONTGAILLARD;HIIS;2.5
MONTORY;HAUX;6
MONTORY;TARDETS;4.5
MONTPELLIER (SUR L'ADOUR);URT;1
MONTPELLIER (SUR L'ADOUR);LES BARTHES (SUR L'ADOUR);2.5
MORLAAS;HAUT DE MORLAAS;2
MORLAAS;SAINT-JAMMES;2
MORLAAS;ARRIEN;10.5
MORLANNE;PEYROU;3
MOULIN NEUF;SAINT-PEE-SUR-NIVELLE;3
MOULIN NEUF;SAINT-JEAN-DE-LUZ NORD;10
MOURENX;VIELLESEGURE;6
MOURENX;LAGOR;2.5
MUSCULDY;PAGOLLE;4
N117-D501;LESCAR;1
N117-D501;PAU;6.5
N117-D509;ARTIGUELOUVE;1.5
N117-D509;N117-D501;2
N121-NA260;MAYA D'EL BAZTAN;4
N121-NA260;ELIZONDO;3.5
N121-NA440;ETCHALAR;4
N121-NA440;BERRIZAUN;2
N134-D716;PAU;7
N134-D918;ISSOR;4.5
N134-D918;ESCOT;5
NABAS;RIVEHAUTE;3
NABAS;LAHERRERE;5
NARP;LAAS;2
NARP;BUGNEIN;5
NARP;MONTESTRUCQ;8.5
NAVAILLES-ANGOS;N134-D716;6
NAVARRENX;SUSMIOU;1.5
NAVARRENX;JASSES;2
NAY;ARROS-DE-NAY;3
ODOS;HORGUES;2.5
ODOS;JUILLAN;3
OGEU-LES-BAINS;BUZIET;2.5
OLHETTE;HERBOURE;1.5
OLORON;GOES;2
OLORON;HERRERE-DE-BAS;7
ORAAS;LE BOURGUET;4
ORAAS;SUD DE SALIES;7
ORDIAP;MUSCULDY;2
ORDIAP;AUSSURUCQ;6
OREGUE (LA HARANNE);ARRAUTE-CHARITTE;4.5
OREGUE (LA HARANNE);BEGUIOS;6
OREGUE (LA HARANNE);ISTURITS;7
ORINCLES;D937-D407;2
ORION;ORRIULE;2.5
ORION;BURGARONNE;4.5
OROIX;PINTAC;3
ORONOZ;SANTESTEBAN;4.5
ORRIULE;NARP;5
ORRIULE;ANDREIN;5.5
ORTHEZ;LANNEPLAA (MIGNOT);4
ORTHEZ;SALLESPISSE;6.5
OS-MARSILLON;ABIDOS;2
OS-MARSILLON;MOURENX;2
OS-MARSILLON;D33-D2;4
OSSUN;PONTACQ;8
OSSUN;JUILLAN;5.5
OSSUN;ADE;6
OSSUN;OSSUN AEROPORT;4
OSSUN AEROPORT;ADE;7
OSTABAT;LARCEVEAU;3
OURSBELILLE;BORDERES-SUR-L'ECHEZ;4
OUSSE;LE HAMEAU D'OUSSE;2.5
OUSSE;ARTIGUELOUTAN;2.5
PAGOLLE;LOHITZUN;8
PARDIES-PIETAT;PONT D'ASSAT;3.5
PAREAC;ORINCLES;2.5
PAREAC;JULOS;2.5
PAU;D2-N134;2
PERRIN;ARTHEZ-DE-BEARN;2.5
PEYREHORADE;LA BOURGADE;9.5
PEYREHORADE;PORT-DE-LANNE;7.5
PEYROU;ARZACQ-ARRAZIGUET;10.5
PEYROUSE;LOUBAJAC;6
PEYROUSE;LOURDES;6.5
PEYROUSE;LOUBAJAC;6
PIERREFITE-NESTALAS;D921-D12;9.5
PIERREFITE-NESTALAS;CAUTERETS;10.5
PINTAC;D2-D93;5
PONSON-DESSUS;OROIX;4
PONSON-DESSUS;PONTIACQ-VIELLEPINTE;6
PONSON-DESSUS;AAST;5
PONT D'ASSAT;RONTIGNON;2.5
PONT DE QUINQUIL;SAINT-PALAIS;4
PONT DE QUINQUIL;UHART-MIXE;3.5
PONT DES GROTTES;SAINT-PE-DE-BIGORRE;3.5
PONT DES GROTTES;GROTTES DE BETHARRAM;2
PONT LATAPIE;LESTELLE-BETHARRAM;4
PONTACQ;CASENAVE;3
PONTACQ;BARZUN;4
PONTIACQ-VIELLEPINTE;VIC-EN-BIGORRE;9.5
PONT-SUZON;BEDOUS;4.5
PONT-SUZON;SARRANCE;2
PORT D'OTXONDO;DANCHARIA;10
PORT-DE-LANNE;BIARROTTE;9.5
POTEAU DE LANNES;HAGETAUBIN;5
POTEAU DE LANNES;PERRIN;3.5
POTEAU DE LANNES;MORLANNE;4.5
POUZAC;BAGNERES-DE-BIGORRE;2.5
PRECHACQ-NAVARRENX;SAUCEDE;2.5
PRECHACQ-NAVARRENX;LUCQ-DE-BEARN;6
PUYOO;SALIES-DE-BEARN;9
PUYOO;LAHONTAN;4.5
PUYOO;LABATUT;6.5
QUARTIER IBARRE;BARDOS;4
QUARTIER NEUF DE SAINT-MARTIN-DE-SEIGNANX;SAINT-MARTIN-DE-SEIGNANX;1.5
QUARTIER NEUF DE SAINT-MARTIN-DE-SEIGNANX;LA PIPETTE (N117);4
REBENACQ;LES PINDATS;7
REBENACQ;GAN;8.5
REBENACQ;SEVIGNACQ-MEYRACQ;6
RIVEHAUTE;D936-D23;7
ROND-POINT D932;D918-D20 EST;4
RONTIGNON;PAU;6.5
ROSPIDE;ORDIAP;2.5
SAINT MARTIN HARRIAGUE;HASPARREN;2.5
SAINT MARTIN HARRIAGUE;D22-D250;6
SAINT-CASTIN;BUROS;3
SAINT-CASTIN;MAUCOR;3.5
SAINT-CASTIN;MORLAAS;4.5
SAINT-CASTIN;NAVAILLES-ANGOS;6
SAINT-CASTIN;LASCLAVERIES;8.5
SAINT-CHRISTAU;ASASP-ARROS;1
SAINT-CHRISTAU;EYSUS;3
SAINT-CHRISTAU;ESCOT;5
SAINT-DOS;D28-D29;2
SAINT-DOS;AUTERRIVE;2
SAINTE-COLOME;SEVIGNACQ-MEYRACQ;2
SAINTE-COLOME;LYS;6.5
SAINTE-ENGRACE;LA CASERNE;5.5
SAINT-ESTEBEN;ISTURITS;4
SAINT-ESTEBEN;BONLOC;6.5
SAINT-ETIENNE-DE-BAIGORRY;SAINT-JEAN-PIED-DE-PORT;11
SAINT-ETIENNE-DE-BAIGORRY;COL D'ISPEGUY;8
SAINT-ETIENNE-DE-BAIGORRY;BANCA;8
SAINT-GOIN;GERONCE;1.5
SAINT-JAMMES;D943-D42;5.5
SAINT-JEAN-DE-LUZ;ASCAIN;6
SAINT-JEAN-DE-LUZ;D912-D913;4
SAINT-JEAN-DE-LUZ NORD;SAINT-JEAN-DE-LUZ;3
SAINT-JEAN-LE-VIEUX;SAINT-JEAN-PIED-DE-PORT;4.5
SAINT-JEAN-LE-VIEUX;LACARRE;4
SAINT-JEAN-PIED-DE-PORT;ARNEGUY;8
SAINT-JEAN-PIED-DE-PORT;SAINT-MARTIN-D'ARROSSA;11
SAINT-JUST-IBARRE;COL D'OSQUICH;4
SAINT-MARTIN-D'ARROSSA;BIDARRAY;6
SAINT-MARTIN-D'ARROSSA;SAINT-ETIENNE-DE-BAIGORRY;8
SAINT-PE-DE-BIGORRE;PEYROUSE;4
SAINT-PEE-SUR-NIVELLE;D255-D755;6
SAINT-PIERRE-D'IRUBE;BAYONNE;3.5
SAINT-SAVIN;PIERREFITE-NESTALAS;3
SAINT-SAVIN;SIREIX;7
SALIES-DE-BEARN;SUD DE SALIES;1.5
SALIES-DE-BEARN;LAVIE;2
SALLESPISSE;SAULT-DE-NAVAILLES;4.5
SARE;COL DE LIZUNIAGA;6
SARE;CHERCHEBRUIT;3.5
SARRANCE;ESCOT;3
SAUBOLE;SERON;3
SAUCEDE;VERDETS;7
SAUGUIS;GOTEIN-LIBARRENX;3.5
SAUGUIS;CAMOU-CIHIGUE;5.5
SAULT-DE-NAVAILLES;HAGETAUBIN;5
SAUVELADE;VIELLESEGURE;5
SAUVELADE;LAGOR;6
SAUVELADE;MASLACQ;7
SEDZERE;ARRIEN;3.5
SEDZERE;MORLAAS;8
SERON;GARDERES;5
SERON;PONSON-DESSUS;4.5
SEVIGNACQ;LASCLAVERIES;3.5
SEVIGNACQ-MEYRACQ;LOUVIE-JUZON;3
SIARROUY;LAGARDE;2
SIMACOURBE;LEMBEYE;5.5
SIMACOURBE;ANOYE;7
SIMACOURBE;SEVIGNACQ;10
SIREIX;ARRAS-EN-LAVEDAN;4
SOUMOULOU;LIMENDOUS;2
SOUMOULOU OUEST;ARTIGUELOUTAN;6
SOUMOULOU OUEST;SOUMOULOU;1.5
SOURAIDE;D918-D20;2
SOURAIDE;SAINT-PEE-SUR-NIVELLE;9.5
SOURAIDE;USTARITZ;7.5
SUD D'ANGAIS;BAUDREIX;2
SUD D'ANGAIS;MIRASSOU;3
SUD DE CAMBO;CAMBO-LES-BAINS;2
SUD DE CAMBO;ITXASSOU;1.5
SUD DE SALIES;SAUVETERRE-DE-BEARN;7
SUSMIOU;GURS;3.5
TARASTEIX;PINTAC;5
TARASTEIX;MONTANER;3
TARASTEIX;OROIX;3.5
TARASTEIX;PONSON-DESSUS;5.5
TARDETS;TROIS-VILLES;2
TARDETS;D26-D759;5
TARDETS;COL DE SUSTARY;3
TELERIA;LA BASTIDE-CLAIRENCE;10
TELERIA;OREGUE (LA HARANNE);3.5
THEZE;CAZAUDEHORE (AURIAC);3.5
THIOU;ORTHEZ;4.5
THIOU;HAGETAUBIN;11.5
TOSTAT;ANDREST;4
TROIS-VILLES;SAUGUIS;3
TROUBETOT;POTEAU DE LANNES;2
TROUBETOT;POTEAU DE LANNES;2
UHALT;CHERAUTE;2.5
UHALT;BURGIA;9.5
UHART-MIXE;OSTABAT;5.5
UNDUREIN;NABAS;6.5
URCURAY;CAMBO-LES-BAINS;5
URCURAY;SAINT MARTIN HARRIAGUE;2.5
URDES;ARTHEZ-DE-BEARN;4
URDES;CESCAU;9.5
URRUGNE;SAINT-JEAN-DE-LUZ;4
URT;D261-D312;12
USTARITZ;ROND-POINT D932;4
USTARITZ;VILLEFRANQUE;6
VALCARLOS;PORT DE RONCEVEAUX;16
VERA-DE-BIDASSOA;COL DE LIZUNIAGA;5
VERA-DE-BIDASSOA;ENDERLAZA;6
VERA-DE-BIDASSOA;MACHAIN;3
VERDETS;LEDEUIX;2
VIC-EN-BIGORRE;CAMALES;3
VIC-EN-BIGORRE;MONTANER;7
VIELLENAVE-DE-NAVARRENX;SUSMIOU;4.5
VIELLENAVE-DE-NAVARRENX;BUGNEIN;2
VIELLENAVE-SUR-BIDOUZE;ARRAUTE-CHARITTE;6
VIELLENAVE-SUR-BIDOUZE;LABASTIDE-VILLEFRANCHE;5.5
VIELLENAVE-SUR-BIDOUZE;LABETS-BISCAY;4.5
VIELLESEGURE;NAVARRENX;8.5
VIELLESEGURE;CLAVERIE;8.5
VIGER;LOURDES;3.5
VILLEFRANQUE;SAINT-PIERRE-D'IRUBE;5
VIODOS;BERROGAIN-LARUNS;1
VIODOS;UNDUREIN;5
VISKER;HIIS;2.5
VISKER;ARCIZAC-ADOUR;2
VISKER;BENAC;5
YANCI;LESACA;4
ZUGARRAMURDI;SARE;7.5